pref,city,intersection,hiragana,address,lat,lon
三重県,桑名市,桑名駅東交差点,くわなえきひがしこうさてん,桑名市寿町二丁目１０番地先,35.066151,136.684787
三重県,桑名市,総合福祉会館前交差点,そうごうふくしかいかんまえこうさてん,桑名市常盤町６６番地先,35.064211,136.689999
三重県,桑名市,桑名市役所前交差点,くわなしやくしょまえこうさてん,桑名市中央町二丁目１９番地先,35.061622,136.685351
三重県,亀山市,御幸町農協前交差点,みゆきちょうのうきょうまえこうさてん,亀山市東御幸町７８番地４先,34.8508,136.453804
三重県,亀山市,南崎交差点,みなみざきこうさてん,亀山市南崎町７３５番地９先,34.852424,136.451189
三重県,鈴鹿市,神戸一丁目交差点,かんべいっちょうめこうさてん,鈴鹿市神戸一丁目１３番１号先,34.882399,136.582851
滋賀県,彦根市,小泉町交差点,こいずみちょうこうさてん,彦根市小泉町６９１番地１先,35.251086,136.243974
滋賀県,彦根市,小泉町中交差点,こいずみちょうなかこうさてん,彦根市小泉町５９６番地１先,35.248958,136.2468
滋賀県,彦根市,戸賀町交差点,とがちょうこうさてん,彦根市戸賀町１３０番地の３１地先,35.254011,136.239978
滋賀県,彦根市,南彦根駅西口交差点,みなみひこねえきにしぐちこうさてん,彦根市小泉町２８０番地の１１先,35.246766,136.247973
滋賀県,彦根市,彦根市スポーツ・文化交流センター前,ひこねしすぽーつぶんかこうりゅうせんたーまえ,彦根市小泉町６７２番地５先,35.250035,136.245376
滋賀県,彦根市,旭町西交差点,あさひまちにしこうさてん,彦根市旭町２７８番地先,35.273109,136.261081
滋賀県,彦根市,旭町交差点,あさひまちこうさてん,彦根市佐和町１２２番地の５地先,35.27279,136.261803
滋賀県,彦根市,福満公園西交差点,ふくみつこうえんにしこうさてん,彦根市西今町９４番地１４先,35.246288,136.244568
京都府,京都市,堀川三条交差点,ほりかわさんじょうこうさてん,京都市中京区橋西町６７７番地１,35.008561,135.751768未併用１
京都府,京都市,二条駅東口交差点,にじょうえきひがしぐちこうさてん,京都市中京区西ノ京東栂尾町３番地,35.011064,135.742621
京都府,京都市,壬生川通四条交差点,みぶがわどおりしじょうこうさてん,京都市中京区壬生賀陽御所町７７番地１,35.003581,135.746121
京都府,京都市,堀川押小路交差点,ほりかわおしこうじこうさてん,京都市中京区池元町４０８番地２,35.011852,135.751431未併用２
京都府,京都市,四条坊城交差点,しじょうぼうじょうこうさてん,京都市中京区壬生坊城町２６番地,35.003579,135.744405未併用３
京都府,京都市,堀川蛸薬師交差点,ほりかわたこやくしこうさてん,京都市中京区金屋町７７６番地２号,35.00615,135.751733未併用４
京都府,京都市,堀川六角交差点,ほりかわろっかくこうさてん,京都市中京区岩上町７２７,35.007339,135.751718未併用５
京都府,京都市,堀川錦小路交差点,ほりかわにしきこうじこうさてん,京都市中京区吉野町８３４番地,35.004927,135.751763未併用６
京都府,京都市,四条堀川交差点,しじょうほりかわこうさてん,京都市下京区唐津屋町５３５番地,35.00366,135.751977
京都府,京都市,塩小路西洞院交差点,しおこうじにしのとういんこうさてん,京都市下京区南不動堂町８０２,34.987156,135.75526
京都府,京都市,京都駅北西塩小路通交差点,きょうとえきほくせいしおこうじどおりこうさてん,京都市下京区東塩小路町８４３番地２,34.987193,135.757362併用：塩小路京都駅西口通路
京都府,京都市,塩小路東洞院交差点,しおこうじひがしのとういんこうさてん,京都市下京区東塩小路町５４１番地１,34.987243,135.761087
京都府,京都市,四条猪熊交差点,しじょういのくまこうさてん,京都市下京区唐津屋町５１０番地,35.003644,135.75044未併用７
京都府,京都市,塩小路新町交差点,しおこうじしんまちこうさてん,京都市下京区東塩小路町８４３番地１２,34.987184,135.756776
京都府,京都市,塩小路烏丸交差点,しおこうじからすまこうさてん,京都市下京区東塩小路町７２１番地１,34.987192,135.759748
京都府,京都市,中央郵便局東,ちゅうおうゆうびんきょくひがし,京都市下京区東塩小路町８４３番地１２,34.986473,135.757547併用：塩小路新町
京都府,京都市,京都駅八条口交差点,きょうとえきはちじょうぐちこうさてん,京都市南区東九条室町４８番地,34.984085,135.758244未併用８
京都府,京都市,烏丸八条交差点,からすまはちじょうこうさてん,京都市南区東九条上殿田町５３番地１,34.984114,135.759782
京都府,京都市,八条西洞院交差点,はちじょうにしのとういんこうさてん,京都市南区西九条北ノ内町１３番地１,34.984243,135.755202
京都府,京都市,千本北大路交差点,せんぼんきたおおじこうさてん,京都市北区紫野下御輿町２０番地,35.040878,135.738564
京都府,京都市,千本今宮交差点,せんぼんいまみやこうさてん,京都市北区紫野西蓮台野町７２番地７,35.044776,135.738187
京都府,京都市,千本通佛教大学正門前交差点,せんぼんどおりぶっきょうだいがくせいもんまえこうさてん,京都市北区紫野大徳寺町２６番地３９,35.042989,135.73836
京都府,京都市,千本通京都ライトハウス前交差点,せんぼんどおりきょうとらいとはうすまえこうさてん,京都市北区紫野西舟岡町７番地３,35.039408,135.739072
京都府,木津川市,高の原駅西交差点,たかのはらえきにしこうさてん,木津川市兜台一丁目２番,34.724852,135.788656未併用９
大阪府,大阪市,白津1丁目交差点,しらついっちょうめこうさてん,大阪市此花区北港白津一丁目２番街区北西角,34.666822,135.405779
大阪府,大阪市,桜島駅前交差点,さくらじまえきまえこうさてん,大阪市此花区桜島二丁目１番５号先,34.661628,135.432144
大阪府,大阪市,森ノ宮駅前交差点,もりのみやえきまえこうさてん,大阪市中央区森ノ宮中央一丁目１番４５号先,34.68142,135.53359
大阪府,大阪市,鶴橋駅前交差点,つるはしえきまえこうさてん,大阪市天王寺区舟橋町１９番８号先,34.666046,135.53044
大阪府,大阪市,上本町6丁目交差点,うえほんまちろくちょうめこうさてん,大阪市天王寺区上本町六丁目１番５５号先,34.66624,135.5193
大阪府,大阪市,谷町9丁目交差点,たにまちきゅうちょうめこうさてん,大阪市天王寺区生玉前町１番２５号先,34.66654,135.5157
大阪府,大阪市,小橋町交差点,おばせちょうこうさてん,大阪市天王寺区小橋町１４番４６号先,34.665971,135.523508
大阪府,大阪市,下味原交差点,しもあじはらこうさてん,大阪市天王寺区下味原町３番１３号先,34.666037,135.528846
大阪府,大阪市,上汐3丁目交差点,うえしおさんちょうめこうさてん,大阪市天王寺区上汐三丁目２番２３号先,34.66647,135.517126
大阪府,大阪市,上本町6丁目東交差点,うえほんまちろくちょうめひがしこうさてん,大阪市天王寺区東高津町１２番１８号先,34.666095,135.52097
大阪府,大阪市,小橋町東交差点,おばせちょうひがしこうさてん,大阪市天王寺区小橋町１４番６３号先,34.665991,135.525476
大阪府,大阪市,味原町交差点,あじはらちょうこうさてん,大阪市天王寺区味原町１５番１４号先,34.66595,135.527507
大阪府,大阪市,赤十字病院入口交差点,せきじゅうじびょういんいりぐちこうさてん,大阪市天王寺区筆ヶ崎町６番３２号先,34.664035,135.523353
大阪府,大阪市,視覚支援学校前交差点,しかくしえんがっこうまえこうさてん,大阪市東淀川区豊里七丁目５番２６号先,34.74363,135.542005
大阪府,大阪市,中道1丁目交差点,なかみちいっちょうめこうさてん,大阪市東成区中道一丁目３番２号先,34.681434,135.535016
大阪府,大阪市,我孫子西2丁目交差点,あびこにしにちょうめこうさてん,大阪市住吉区我孫子西二丁目１１番２３号先,34.602276,135.504465
大阪府,大阪市,我孫子西2丁目南交差点,あびこにしにちょうめみなみこうさてん,大阪市住吉区我孫子西二丁目１１番１４号先,34.601408,135.504097
大阪府,大阪市,我孫子町駅南交差点,あびこちょうえきみなみこうさてん,大阪市住吉区我孫子西二丁目３番24号,34.601683,135.506083
大阪府,大阪市,山之内1丁目東交差点,やまのうちいっちょうめひがしこうさてん,大阪市住吉区山之内一丁目８番１０号先,34.600268,135.503617
大阪府,大阪市,長居公園西口交差点,ながいこうえんにしぐちこうさてん,大阪市東住吉区長居公園１番３２号先,34.611781,135.513992
大阪府,大阪市,汎愛高校前交差点,はんあいこうこうまえこうさてん,大阪市鶴見区今津中一丁目７番１４号先,34.691921,135.569573
大阪府,大阪市,ライトハウス北交差点,らいとはうすきたこうさてん,大阪市鶴見区今津中二丁目４番２号先,34.691936,135.5713
大阪府,大阪市,今津中学校前交差点,いまづちゅうがっこうまえこうさてん,大阪市鶴見区今津中一丁目７番２号先,34.6919,135.56783
大阪府,大阪市,放出駅前交差点,はなてんえきまえこうさてん,大阪市鶴見区放出東三丁目２１番４０号先,34.68853,135.563035
兵庫県,神戸市,王子公園前交差点,おうじこうえんまえこうさてん,神戸市灘区王子町三丁目１番地先,34.709049,135.215471
兵庫県,神戸市,阪急王子公園駅前交差点,はんきゅうおうじこうえんえきまえこうさてん,神戸市灘区王子町一丁目２番１１号先,34.709366,135.217303
兵庫県,神戸市,坂口通1丁目交差点,さかぐちどおりいっちょうめこうさてん,神戸市中央区坂口通一丁目１番１号先,34.708772,135.213031
兵庫県,神戸市,上筒井1丁目交差点,かみつついいっちょうめこうさてん,神戸市中央区上筒井通一丁目２番７号先,34.708448,135.211648
兵庫県,神戸市,湊川神社前交差点,みなとがわじんじゃまえこうさてん,神戸市中央区多聞通二丁目４番１号先,34.680873,135.177124
兵庫県,神戸市,神戸駅前交差点,こうべえきまえこうさてん,神戸市中央区相生町二丁目３番３号先,34.680019,135.177326
兵庫県,神戸市,湊川神社西交差点,みなとがわじんじゃにしこうさてん,神戸市中央区多聞通三丁目１番１号先,34.680155,135.175909
兵庫県,神戸市,神戸駅西交差点,こうべえきにしこうさてん,神戸市中央区多聞通三丁目３番７号先,34.679555,135.176575
兵庫県,神戸市,湊川公園西口交差点,みなとがわこうえんにしぐちこうさてん,神戸市兵庫区下沢通一丁目５番１３号先,34.678811,135.166721
兵庫県,神戸市,新開地交差点,しんかいちこうさてん,神戸市兵庫区大開通一丁目１番先,34.676111,135.169441
兵庫県,神戸市,大開通２丁目交差点,だいかいどおりにちょうめこうさてん,神戸市兵庫区水木通二丁目１番９号先,34.674856,135.167166
兵庫県,神戸市,ダイヤ通東口交差点,だいやどおりひがしぐちこうさてん,神戸市兵庫区中道通一丁目３番１号先,34.677059,135.168562
兵庫県,神戸市,中道通１丁目交差点,なかみちどおりいっちょうめこうさてん,神戸市兵庫区下沢通一丁目１番１号先,34.677873,135.167767
兵庫県,神戸市,リハビリセンター前交差点,りはびりせんたーまえこうさてん,神戸市西区持子二丁目１５番地先,34.669979,134.980847
兵庫県,姫路市,姫路駅前交差点,ひめじえきまえこうさてん,姫路市駅前町２５１番地先,34.828538,134.6906
兵庫県,姫路市,姫路駅北交差点,ひめじえききたこうさてん,姫路市西駅前町１番地先,34.827949,134.690321
兵庫県,姫路市,姫路市役所南交差点,ひめじしやくしょみなみこうさてん,姫路市安田四丁目６番地先,34.815234,134.684103
兵庫県,姫路市,姫路市役所前交差点,ひめじしやくしょまえこうさてん,姫路市安田四丁目２５番地先,34.816293,134.684581
兵庫県,尼崎市,総合医療センター南交差点,そうごういりょうせんたーみなみこうさてん,尼崎市東難波町三丁目１６番２号先,34.729255,135.412421
兵庫県,尼崎市,尼崎市役所前交差点,あまがさきしやくしょまえこうさてん,尼崎市東七松町一丁目２３番１号先,34.732721,135.405805
兵庫県,尼崎市,総合医療センター前交差点,そうごういりょうせんたーまえこうさてん,尼崎市東灘波町二丁目１７番７７号先,34.730563,135.412269
兵庫県,西宮市,神明町西交差点,しんめいちょうにしこうさてん,西宮市神明町９番７号先,34.742236,135.350318
兵庫県,明石市,明石駅前交差点,あかしえきまえこうさてん,明石市大明石町一丁目５番６号先,34.64749,134.99356
奈良県,奈良市,高天交差点,たかまこうさてん,奈良市高天町８番地先,34.684311,135.826075
奈良県,奈良市,JR奈良駅前交差点,じぇいあーるならえきまえこうさてん,奈良市大宮町一丁目１番７号先,34.681985,135.820603
鳥取県,鳥取市,若桜街道交差点,わかさかいどうこうさてん,鳥取市栄町５０３番地,35.495999,134.228288
